blockNumber,confirmations,Month,Day,Hour,mean_value_received,variance_value_received,total_received,time_diff_first_last_received,total_tx_sent,total_tx_sent_malicious,total_tx_sent_unique,total_tx_sent_malicious_unique,total_tx_received_malicious_unique,Fraud,tx_type_0x0_ratio,tx_type_0x1_ratio,tx_type_0x2_ratio,tx_type_0x3_ratio,tx_type_0x4_ratio,contract_deploy_tx_count,contract_deploy_tx_ratio
19664511,201879,4,16,0,0.1751904075,0.0519971092909851,0.7007616300000001,246.45916666666668,43.0,0.0,6.0,0.0,0.0,0,0.20212765957446807,0.005319148936170213,0.7925531914893617,0.0,0.0,0,0.0
16217669,3648727,12,19,8,0.0842392024381043,0.0344684110324226,13.394033187658586,625.4894328703704,62.0,0.0,1.0,0.0,0.0,0,0.3644067796610169,0.0,0.635593220338983,0.0,0.0,0,0.0
14351953,5514270,3,9,10,3.896735904391325,101.819167885204,467.608308526959,1884.80613425926,552.0,0.0,251.0,0.0,0.0,0,0.008968609865470852,0.0,0.9910313901345291,0.0,0.0,0,0.0
19753020,113094,4,28,9,0.1355401416682591,0.0043894645704178,1.4909415583508507,225.1555555555556,59.0,0.0,33.0,0.0,0.0,0,0.07665505226480836,0.003484320557491289,0.9198606271777003,0.0,0.0,0,0.0
19076055,790248,1,24,10,0.2357174086643617,0.1490361968081223,43.372003194242566,937.6813773148148,423.0,0.0,97.0,0.0,0.0,0,0.13548387096774195,0.0,0.864516129032258,0.0,0.0,1,0.0064516129032258064
11530191,8336003,12,26,15,23.77582758652377,1991.5820520259515,6966.317482851466,2512.633460648148,522.0,0.0,115.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
18817741,1048774,12,19,4,0.2172592705960731,0.204874153813467,8.25585228265078,1139.8634722222223,147.0,0.0,19.0,0.0,0.0,0,0.07920792079207921,0.0,0.9207920792079208,0.0,0.0,0,0.0
18637845,1228302,11,23,23,0.3018457269565976,0.1435643827097255,13.884903440003493,907.028136574074,918.0,0.0,36.0,0.0,0.0,0,0.047619047619047616,0.0,0.9523809523809523,0.0,0.0,0,0.0
19068121,797945,1,23,8,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,0.07425742574257425,0.0,0.9257425742574258,0.0,0.0,0,0.0
12189510,7676543,4,7,0,0.0,0.0,0.0,0.0,694.0,498.0,360.0,268.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
13420928,6445336,10,15,6,0.0,0.0,0.0,0.0,77.0,0.0,25.0,0.0,0.0,0,0.5018450184501845,0.0,0.4981549815498155,0.0,0.0,1,0.0036900369003690036
9617111,10249071,3,6,10,0.1454830691736896,0.0504576411497343,48.15489589649126,2151.922928240741,904.0,0.0,529.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
17360245,2506017,5,28,21,0.2091568057916606,0.0326432000857109,8.784585843249749,361.2138888888889,568.0,0.0,14.0,0.0,0.0,0,0.07246376811594203,0.0,0.927536231884058,0.0,0.0,0,0.0
13507409,6358691,10,28,18,0.5847607156555114,0.6086457173848432,22.805667910564942,305.0430787037037,223.0,0.0,48.0,0.0,0.0,0,0.5342741935483871,0.0,0.4657258064516129,0.0,0.0,0,0.0
15354303,4511755,8,16,19,2.9001367447472868,18.355482534114923,55.102598150198446,971.7751157407408,180.0,0.0,92.0,0.0,0.0,0,0.056962025316455694,0.0,0.9430379746835443,0.0,0.0,0,0.0
18974493,891720,1,10,5,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0,0.07253886010362694,0.0,0.927461139896373,0.0,0.0,0,0.0
19401054,465154,3,10,0,0.3898133487183745,1.1718036553473816,11.30458711283286,1129.8558333333333,44.0,0.0,18.0,0.0,0.0,0,0.1125,0.0,0.8875,0.0,0.0,0,0.0
19443516,423018,3,15,23,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,0.5767716535433071,0.001968503937007874,0.421259842519685,0.0,0.0,0,0.0
11547644,8318485,12,29,7,0.0,0.0,0.0,0.0,4153.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
10488574,9377608,7,19,7,0.1454830691736896,0.0504576411497343,48.15489589649126,2151.922928240741,904.0,0.0,529.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,2,0.00980392156862745
10721477,9144836,8,24,6,10.124387636174072,210.1253799333253,718.8315221683591,2124.068599537037,388.0,0.0,124.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,2,0.007067137809187279
19702731,163795,4,21,8,3.684420045201565,0.0,3.684420045201565,0.0,2.0,0.0,2.0,0.0,0.0,0,0.2298507462686567,0.0,0.7701492537313432,0.0,0.0,0,0.0
17099707,2766496,4,22,5,0.127776700076554,0.1030145958371101,133.3988748799224,905.2295949074074,2160.0,0.0,428.0,0.0,0.0,0,0.03496503496503497,0.0,0.965034965034965,0.0,0.0,0,0.0
18878307,988017,12,27,16,0.0961815904759543,0.0036365668996562,28.75829555231036,887.7995023148148,1359.0,0.0,49.0,0.0,0.0,0,0.09401709401709402,0.0,0.905982905982906,0.0,0.0,0,0.0
15319698,4546577,8,11,8,0.0,0.0,0.0,0.0,1410.0,0.0,650.0,0.0,0.0,0,0.30985915492957744,0.0,0.6901408450704225,0.0,0.0,0,0.0
19748690,117791,4,27,19,0.15398205,0.0026945278331231,0.9238923,55.992916666666666,7.0,0.0,2.0,0.0,0.0,0,0.2072072072072072,0.036036036036036036,0.7567567567567568,0.0,0.0,0,0.0
11408343,8458117,12,7,22,1.6405973832796794,7.762757014961372,36.09314243215295,1178.9876736111112,72.0,0.0,21.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
